Year,Player,Rank,Position,Team,Points,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV
2016,Ndamukong Suh,55,DT,MIA,46,0,0,0,0,6,0,0,1,0,0,5.0,72,41,31,11,17,0,12
2016,Geno Atkins,68,DT,CIN,33,0,0,0,0,0,0,0,0,0,0,9.0,32,21,11,13,26,0,11
2016,Mike Daniels,84,DT,GB,17,0,0,0,0,1,0,0,1,0,0,4.0,33,25,8,8,11,0,5
2016,Jurrell Casey,86,DT,TEN,15,0,0,0,0,5,0,0,0,0,0,5.0,44,31,13,8,18,0,11
2016,Damon Harrison,96,DT,NYG,5,0,0,0,0,2,0,0,0,0,0,0.5,95,63,32,5,2,0,7
2017,Aaron Donald,7,DT,LAR,94,0,0,0,0,1,5,0,1,0,0,11.0,41,32,9,15,27,0,14
2017,Ndamukong Suh,61,DT,MIA,40,0,0,0,0,2,2,0,0,0,0,4.5,48,29,19,9,12,0,6
2017,Geno Atkins,63,DT,CIN,38,0,0,0,0,0,0,0,0,0,0,9.0,46,29,17,10,20,0,10
2017,Jurrell Casey,66,DT,TEN,35,0,0,0,0,1,1,0,0,0,0,6.0,60,41,19,12,19,0,10
2017,Fletcher Cox,69,DT,PHI,32,0,0,0,0,2,1,0,2,20,1,5.5,26,15,11,5,17,0,14
2017,Linval Joseph,83,DT,MIN,18,0,0,0,0,0,0,0,1,0,0,3.5,68,40,28,5,10,0,13
2018,Aaron Donald,1,DT,LAR,100,0,0,0,0,1,4,0,2,0,0,20.5,59,41,18,25,41,0,16
2018,Fletcher Cox,28,DT,PHI,73,0,0,0,0,1,1,0,1,3,0,10.5,46,33,13,12,34,0,15
2018,Chris Jones,36,DT,KC,65,1,20,1,20,5,2,0,0,0,0,15.5,40,35,5,19,29,0,11
2018,Gerald McCoy,75,DT,TB,26,0,0,0,0,1,0,0,0,0,0,6.0,28,17,11,6,21,0,6
2018,Geno Atkins,79,DT,CIN,22,0,0,0,0,0,0,0,0,0,0,10.0,45,24,21,13,19,0,8
2019,Aaron Donald,3,DT,LAR,98,0,0,0,0,2,2,0,1,0,0,12.5,48,29,19,20,24,1,13
2019,Chris Jones,52,DT,KC,49,0,0,0,0,4,1,0,1,12,0,9.0,36,23,13,8,20,0,9
2019,DeForest Buckner,56,DT,SF,45,0,0,0,0,2,2,0,4,12,1,7.5,62,34,28,9,14,0,16
2019,Jurrell Casey,71,DT,TEN,30,0,0,0,0,0,1,0,2,0,0,5.0,44,26,18,5,10,0,11
2019,Fletcher Cox,73,DT,PHI,28,0,0,0,0,2,3,0,1,1,0,3.5,40,26,14,5,10,0,11
2019,Cameron Heyward,84,DT,PIT,17,0,0,0,0,6,1,0,1,0,0,9.0,83,51,32,11,23,0,16
2019,Grady Jarrett,91,DT,ATL,10,0,0,0,0,0,2,0,0,0,0,7.5,69,38,31,12,16,0,12
2010,Ray Lewis,4,LB,BAL,97,2,26,1,24,4,2,0,3,1,0,2.0,139,102,37,4,4,0,16
2010,DeMarcus Ware,12,LB,DAL,89,0,0,0,0,1,2,0,2,22,1,15.5,66,56,10,21,23,0,11
2010,Clay Matthews,19,LB,GB,82,1,62,1,62,4,2,0,0,0,0,13.5,60,54,6,18,25,0,16
2010,James Harrison,21,LB,PIT,80,2,2,0,2,5,6,0,1,0,0,10.5,100,70,30,13,21,0,19
2010,Patrick Willis,23,LB,SF,78,0,0,0,0,5,2,0,0,0,0,6.0,128,101,27,9,7,0,14
2010,Jonathan Vilma,37,LB,NOR,64,1,5,0,5,3,3,0,1,0,0,4.0,105,70,35,6,9,0,9
2010,Terrell Suggs,40,LB,BAL,61,0,0,0,0,2,2,0,0,0,0,11.0,68,53,15,18,21,0,11
2010,Brian Urlacher,49,LB,CHI,52,1,0,0,0,10,1,0,2,0,0,4.0,126,97,29,13,5,0,15
2010,Jerod Mayo,62,LB,NE,39,0,0,0,0,5,1,0,3,-2,0,2.0,174,113,61,5,5,0,14
2010,LaMarr Woodley,82,LB,PIT,19,2,22,1,14,5,3,0,2,19,0,10.0,50,35,15,9,16,0,11
2010,Lance Briggs,92,LB,CHI,9,2,1,0,1,7,1,0,1,0,0,2.0,89,76,13,8,2,0,12
2010,Jon Beason,95,LB,CAR,6,1,7,0,7,8,2,0,0,0,0,1.0,121,90,31,10,2,0,10
2010,Shaun Phillips,97,LB,LAC,4,1,31,1,31,7,0,0,1,0,0,11.0,55,47,8,17,12,0,11
2011,DeMarcus Ware,6,LB,DAL,95,0,0,0,0,2,2,0,1,0,0,19.5,58,48,10,26,29,0,15
2011,Patrick Willis,10,LB,SF,91,1,10,0,10,12,4,0,2,0,0,2.0,97,74,23,7,4,0,16
2011,Terrell Suggs,11,LB,BAL,90,2,9,0,9,6,7,0,0,0,0,14.0,70,50,20,20,23,0,16
2011,Ray Lewis,20,LB,BAL,81,1,4,0,4,7,2,0,0,0,0,2.0,95,72,23,3,4,0,9
2011,Clay Matthews,27,LB,GB,74,3,47,1,38,9,3,0,0,0,0,6.0,50,37,13,8,25,0,9
2011,James Harrison,29,LB,PIT,72,0,0,0,0,0,2,0,0,0,0,9.0,59,48,11,13,16,0,10
2011,Brian Urlacher,51,LB,CHI,50,3,7,0,8,7,0,0,2,29,1,0.0,102,84,18,9,0,0,12
2011,Von Miller,52,LB,DEN,49,0,0,0,0,4,3,0,0,0,0,11.5,64,50,14,19,29,0,11
2011,Brian Cushing,54,LB,HOU,47,2,5,0,5,5,2,0,0,0,0,4.0,114,76,38,8,13,0,15
2011,Jonathan Vilma,58,LB,NOR,43,0,0,0,0,2,1,0,4,0,1,0.0,54,36,18,1,1,0,6
2011,LaMarr Woodley,63,LB,PIT,38,1,1,0,1,2,0,0,1,0,0,9.0,39,26,13,10,13,0,7
2011,Lance Briggs,72,LB,CHI,29,1,0,0,0,4,2,0,0,0,0,0.0,105,86,19,9,1,0,11
2011,Derrick Johnson,78,LB,KC,23,2,18,0,17,9,1,0,1,0,0,2.0,131,104,27,10,3,0,14
2011,NaVorro Bowman,85,LB,SF,16,0,0,0,0,8,0,0,3,0,0,2.0,143,111,32,13,6,0,19
2011,London Fletcher,87,LB,WAS,14,2,0,0,0,8,2,0,0,0,0,1.5,166,96,70,5,8,0,12
2011,D'Qwell Jackson,96,LB,CLV,5,1,24,0,24,3,1,0,3,1,0,3.5,158,116,42,12,8,0,10
2012,Aldon Smith,7,LB,SF,94,1,6,0,6,1,3,0,0,0,0,19.5,66,50,16,18,29,0,15
2012,Von Miller,9,LB,DEN,92,1,26,1,26,2,6,0,0,0,0,18.5,68,55,13,28,25,0,17
2012,Patrick Willis,10,LB,SF,91,2,2,0,2,9,2,0,1,3,0,0.5,120,88,32,5,3,0,15
2012,DeMarcus Ware,12,LB,DAL,89,0,0,0,0,0,5,0,1,0,0,11.5,56,33,23,9,23,0,11
2012,Clay Matthews,31,LB,GB,70,0,0,0,0,3,1,0,0,0,0,13.0,43,32,11,15,24,0,10
2012,NaVorro Bowman,37,LB,SF,64,1,11,0,11,7,1,0,0,0,0,2.0,148,96,52,6,4,0,15
2012,Justin Houston,49,LB,KC,52,1,32,0,32,6,1,0,1,4,0,10.0,66,53,13,13,18,1,8
2012,Terrell Suggs,56,LB,BAL,45,0,0,0,0,4,0,0,0,0,0,2.0,22,17,5,3,5,0,4
2012,Derrick Johnson,59,LB,KC,42,0,0,0,0,4,4,0,0,0,0,2.0,124,109,15,12,5,0,8
2012,Stephen Tulloch,63,LB,DET,38,0,0,0,0,6,1,0,2,0,0,0.5,112,74,38,6,5,0,7
2012,Chad Greenway,70,LB,MIN,31,1,3,0,3,4,0,0,2,0,0,3.0,148,98,50,7,5,0,12
2012,Luke Kuechly,79,LB,CAR,22,2,22,0,25,7,0,0,3,9,0,1.0,164,103,61,12,1,0,8
2012,Lance Briggs,83,LB,CHI,18,2,110,2,74,11,2,0,0,0,0,1.5,103,74,29,7,2,0,11
2012,London Fletcher,86,LB,WAS,15,5,29,0,10,11,1,0,0,0,0,3.0,139,78,61,5,4,0,12
2012,Cameron Wake,89,LB,MIA,12,0,0,0,0,1,3,0,0,0,0,15.0,53,38,15,13,33,0,18
2012,Daryl Washington,94,LB,ARI,7,1,7,0,7,4,2,0,1,3,0,9.0,134,108,26,15,12,0,16
2013,Luke Kuechly,15,LB,CAR,86,4,33,0,30,7,0,0,0,0,0,2.0,156,93,63,10,2,0,18
2013,Robert Mathis,19,LB,IND,82,0,0,0,0,1,10,0,0,0,0,19.5,59,44,15,15,21,1,15
2013,Terrell Suggs,26,LB,BAL,75,0,0,0,0,0,0,0,1,0,0,10.0,80,47,33,13,19,0,12
2013,Patrick Willis,27,LB,SF,74,0,0,0,0,1,2,0,0,0,0,3.0,104,82,22,10,5,0,10
2013,Aldon Smith,33,LB,SF,68,0,0,0,0,0,1,0,1,0,0,8.5,34,29,5,11,18,0,5
2013,Lavonte David,35,LB,TB,66,5,87,0,32,10,2,0,1,0,0,7.0,145,107,38,21,13,1,15
2013,Tamba Hali,43,LB,KC,58,1,10,1,10,1,5,0,2,11,1,11.0,46,39,7,12,15,0,13
2013,NaVorro Bowman,47,LB,SF,54,2,93,1,89,8,6,0,2,0,0,5.0,145,120,25,9,5,0,19
2013,Vontaze Burfict,52,LB,CIN,49,1,12,0,12,6,1,0,2,13,1,3.0,171,114,57,9,5,0,18
2013,DeMarcus Ware,56,LB,DAL,45,1,0,0,0,2,0,0,1,0,0,6.0,40,28,12,9,12,0,5
2013,Justin Houston,57,LB,KC,44,0,0,0,0,4,1,0,3,7,0,11.0,44,41,3,11,15,0,9
2013,DeAndre Levy,59,LB,DET,42,6,76,1,66,15,0,0,0,0,0,0.0,118,85,33,8,3,0,9
2013,Derrick Johnson,64,LB,KC,37,2,44,0,41,6,0,0,2,11,0,4.5,107,95,12,12,10,0,11
2013,Von Miller,76,LB,DEN,25,0,0,0,0,1,3,0,1,60,1,5.0,34,27,7,9,10,0,5
