Year,Player,Rank,Position,Team,Points,Tgt,Rec,Rec Yds,Y/R,Rec TD,Rec 1D,Rec Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Rush Yds,Rush TD,Rush 1D,Rush Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV
2013,Demaryius Thomas,49,WR,DEN,52,142,92,1430,15.5,14,66,78,5.8,89.4,0,10.1,0,0,0,0,0,0,0,0,92,15.5,1430,14,2,13
2013,Alshon Jeffery,54,WR,CHI,47,148,89,1421,16,7,62,80,5.6,88.8,0,9.6,16,105,0,7,38,6.6,6.6,1,105,14.5,1526,7,3,14
2013,DeSean Jackson,63,WR,PHI,38,126,82,1332,16.2,9,60,61,5.1,83.3,0,10.6,3,2,0,0,8,0.7,0.1,0.2,85,15.7,1334,9,1,11
2013,Wes Welker,73,WR,DEN,28,111,73,778,10.7,10,49,33,5.6,59.8,0,7,0,0,0,0,0,0,0,0,73,10.7,778,10,1,7
2013,Pierre Garçon,80,WR,WAS,21,181,113,1346,11.9,5,61,53,7.1,84.1,0,7.4,2,19,0,1,10,9.5,1.2,0.1,115,11.9,1365,5,1,9
2013,Jordy Nelson,83,WR,GB,18,127,85,1314,15.5,8,60,76,5.3,82.1,0,10.3,0,0,0,0,0,0,0,0,85,15.5,1314,8,0,11
2014,Calvin Johnson,6,WR,DET,95,128,71,1077,15.2,8,59,67,5.5,82.8,0,8.4,0,0,0,0,0,0,0,0,71,15.2,1077,8,0,9
2014,Antonio Brown,8,WR,PIT,93,181,129,1698,13.2,13,87,63,8.1,106.1,0,9.4,4,13,0,0,9,3.3,0.8,0.3,133,12.9,1711,13,2,16
2014,Julio Jones,13,WR,ATL,88,163,104,1593,15.3,6,76,79,6.9,106.2,0,9.8,1,1,0,1,1,1,0.1,0.1,105,15.2,1594,6,2,14
2014,Dez Bryant,15,WR,DAL,86,136,88,1320,15,16,60,68,5.5,82.5,0,9.7,0,0,0,0,0,0,0,0,88,15,1320,16,1,14
2014,Jordy Nelson,18,WR,GB,83,151,98,1519,15.5,13,71,80,6.1,94.9,0,10.1,0,0,0,0,0,0,0,0,98,15.5,1519,13,0,19
2014,Demaryius Thomas,20,WR,DEN,81,184,111,1619,14.6,11,69,86,6.9,101.2,0,8.8,0,0,0,0,0,0,0,0,111,14.6,1619,11,0,16
2014,Odell Beckham Jr.,32,WR,NYG,69,130,91,1305,14.3,12,58,80,7.6,108.8,0,10,7,35,0,2,13,5,2.9,0.6,98,13.7,1340,12,1,11
2014,T.Y. Hilton,35,WR,IND,66,131,82,1345,16.4,7,64,73,5.5,89.7,0,10.3,2,20,0,1,15,10,1.3,0.1,84,16.3,1365,7,3,12
2014,A. J. Green,37,WR,CIN,64,117,69,1041,15.1,6,46,81,5.3,80.1,0,8.9,2,2,0,0,5,1,0.2,0.2,71,14.7,1043,6,3,9
2014,DeSean Jackson,50,WR,WAS,51,95,56,1169,20.9,6,37,81,3.7,77.9,0,12.3,4,7,0,1,9,1.8,0.5,0.3,60,19.6,1176,6,0,8
2014,Steve Smith,54,WR,BAL,47,134,79,1065,13.5,6,45,80,4.9,66.6,0,7.9,0,0,0,0,0,0,0,0,79,13.5,1065,6,1,10
2014,Brandon Marshall,57,WR,CHI,44,106,61,721,11.8,8,41,47,4.7,55.5,0,6.8,0,0,0,0,0,0,0,0,61,11.8,721,8,1,6
2014,Jeremy Maclin,61,WR,PHI,40,143,85,1318,15.5,10,56,72,5.3,82.4,0,9.2,0,0,0,0,0,0,0,0,85,15.5,1318,10,0,9
2014,Larry Fitzgerald,68,WR,ARI,33,103,63,784,12.4,2,39,80,4.5,56,0,7.6,0,0,0,0,0,0,0,0,63,12.4,784,2,1,6
2014,Mike Evans,75,WR,TB,26,122,68,1051,15.5,12,46,56,4.5,70.1,0,8.6,0,0,0,0,0,0,0,0,68,15.5,1051,12,0,8
2014,Golden Tate,85,WR,DET,16,144,99,1331,13.4,4,61,73,6.2,83.2,0,9.2,5,30,0,1,13,6,1.9,0.3,104,13.1,1361,4,1,11
2014,Julian Edelman,91,WR,NE,10,134,92,972,10.6,4,50,69,6.6,69.4,0,7.3,10,94,0,7,25,9.4,6.7,0.7,102,10.5,1066,4,5,13
